mass_kg,velocity_kmh,angle_deg,a_pillar_thickness_mm,crumple_zone_length_m,yield_strength_mpa,section_height_mm,section_width_mm,year,vehicle_class_ev,vehicle_class_sedan,vehicle_class_suv,vehicle_class_truck,test_type_frontal,test_type_rollover,test_type_side
2659.7,59.0,89.3,1.23,0.789,396.1,168.2,113.8,2011.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2131.4,43.4,27.0,1.42,0.716,450.5,156.7,117.3,2024.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1671.0,49.2,38.3,1.48,0.797,414.5,168.2,105.8,2005.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1820.5,48.6,86.6,1.29,0.946,445.7,147.9,118.9,2014.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2295.1,38.9,90.6,1.16,1.042,468.7,162.1,119.8,2002.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2102.5,61.5,10.5,1.21,0.958,349.9,159.6,110.3,2001.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2131.2,34.8,31.3,1.67,0.96,404.2,160.2,128.6,2022.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2256.1,57.5,13.2,1.63,0.861,552.5,161.5,110.2,2003.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2198.9,34.8,21.0,1.61,0.925,374.8,155.5,113.3,2001.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1474.5,44.2,91.3,1.07,0.943,445.5,162.4,105.6,2021.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2670.2,46.6,36.6,1.44,0.829,528.6,159.6,129.6,2012.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1733.2,52.4,92.7,1.29,0.843,467.6,168.1,109.5,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2242.9,45.3,32.8,1.17,0.856,500.1,169.0,127.0,2001.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2426.0,49.8,4.7,1.39,1.03,382.8,178.1,115.7,2017.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2110.0,45.8,0.3,1.26,1.021,478.2,174.7,114.9,2020.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2482.8,59.0,7.7,1.24,0.988,490.7,173.6,122.0,2004.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1318.5,53.1,90.4,1.02,0.74,335.9,146.1,99.4,2012.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2089.3,49.2,8.8,1.24,0.894,397.1,174.2,122.6,2003.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1546.5,54.2,91.2,0.95,0.748,397.4,164.4,97.9,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2213.9,31.7,29.7,1.12,0.855,418.2,170.5,110.4,2016.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2280.0,54.8,7.3,1.42,0.922,346.0,161.0,113.4,2019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2245.4,52.8,94.9,1.25,0.855,460.5,164.5,111.9,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1975.1,53.8,37.8,1.55,0.848,435.6,161.8,120.2,2007.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2779.6,58.8,0.2,1.29,0.744,371.9,183.4,124.1,2001.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2183.2,46.1,26.7,1.02,0.761,401.5,153.4,109.5,2008.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1685.9,53.4,42.0,0.91,0.807,438.7,154.4,113.0,2014.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2418.3,37.7,24.5,1.31,0.962,427.9,174.6,113.3,2022.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1827.9,45.0,3.7,1.32,1.008,381.6,157.5,129.9,2021.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2091.9,53.6,87.5,1.33,0.827,545.1,165.9,111.3,2006.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2097.6,58.6,5.9,1.37,1.068,386.6,164.7,119.3,2012.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2536.7,41.6,28.9,1.18,0.839,444.0,187.8,127.1,2006.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1923.2,60.3,7.8,1.45,0.895,473.8,154.0,112.6,2007.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237.5,45.8,93.8,1.65,0.875,400.2,150.8,127.7,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2077.5,61.7,8.5,1.43,0.855,423.3,164.9,118.4,2007.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1850.4,58.9,13.0,1.46,1.082,453.4,160.3,111.5,2022.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2319.0,35.1,38.7,1.31,1.039,522.4,159.5,129.9,2010.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1663.6,56.5,94.5,0.99,0.975,433.6,158.1,113.0,2024.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2069.4,36.3,43.2,1.31,0.832,515.4,162.9,110.7,2013.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2357.9,37.6,41.5,1.69,1.008,366.9,151.8,113.7,2021.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2321.6,47.0,11.9,1.06,0.756,382.7,151.1,105.6,2000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1525.0,58.6,87.5,1.02,0.979,362.7,141.0,111.8,2013.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1432.4,49.3,89.2,1.06,0.827,474.8,168.7,98.4,2022.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1665.7,49.3,13.6,1.17,0.844,415.3,157.9,110.4,2018.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2170.7,62.5,8.8,1.51,0.949,492.4,157.2,120.4,2008.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2399.3,48.2,92.3,1.36,1.027,528.3,169.8,126.1,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1380.1,35.2,26.3,1.47,0.839,484.3,151.2,103.1,2001.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2143.0,52.5,85.3,1.76,0.91,386.3,181.0,114.3,2024.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2058.2,40.9,89.9,1.51,0.898,490.1,177.7,118.8,2014.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1418.0,52.0,3.8,1.26,0.869,324.1,162.8,112.3,2002.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2378.7,37.7,36.8,1.42,1.01,479.2,151.3,128.5,2009.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1870.3,61.5,3.0,1.45,0.937,505.0,165.5,124.8,2003.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2280.7,53.7,0.2,1.07,0.78,349.6,176.4,112.1,2012.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1938.6,50.8,39.7,1.14,0.952,423.5,170.9,114.7,2004.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1645.8,51.9,38.8,1.23,0.789,342.1,141.4,109.5,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2710.4,54.5,92.2,1.63,0.783,424.7,153.2,117.6,2018.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2238.6,62.2,8.1,1.51,1.015,362.4,154.0,109.2,2014.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2340.1,48.0,41.2,1.24,0.812,366.2,155.2,120.4,2010.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2310.2,43.0,40.8,1.64,1.007,418.9,158.8,118.1,2002.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1281.0,43.0,93.6,1.0,0.987,458.3,148.9,107.9,2020.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2267.7,39.5,91.4,1.09,0.952,441.7,173.7,122.6,2005.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1543.6,41.6,32.7,1.18,0.849,339.0,154.9,101.6,2024.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1870.4,37.5,27.7,1.11,1.054,509.4,172.7,116.9,2013.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2338.0,55.1,14.6,1.57,0.918,363.7,156.3,113.1,2015.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1343.9,56.7,13.8,1.39,0.94,415.2,148.7,97.2,2003.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1794.6,47.7,85.5,1.32,0.922,398.6,161.6,119.9,2019.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2057.9,53.2,9.2,1.49,0.826,553.4,150.1,115.4,2015.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1341.9,48.9,92.6,1.13,0.747,314.3,161.9,101.0,2002.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1254.7,59.6,91.9,1.19,0.948,456.9,150.2,98.9,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2627.6,50.3,94.6,1.2,0.744,550.8,150.3,112.5,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2183.4,31.7,21.1,1.52,0.818,408.4,187.8,122.0,2020.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1469.2,59.4,92.4,0.98,0.991,449.2,151.7,107.4,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2163.4,64.7,11.0,1.56,0.929,411.2,160.3,125.8,2020.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2288.6,50.2,10.6,1.55,0.882,412.9,162.5,122.5,2016.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2205.8,47.9,11.0,1.65,0.734,387.7,157.3,117.7,2000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2200.9,52.0,93.4,1.03,1.026,400.4,167.6,113.5,2005.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2183.2,42.5,31.7,1.15,0.881,487.0,151.2,110.3,2005.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2168.1,32.6,23.3,1.2,1.095,420.7,161.7,126.4,2010.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1765.0,36.5,37.9,1.08,1.03,440.4,166.1,121.7,2017.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2322.9,41.6,28.4,1.57,0.93,365.0,168.7,121.3,2008.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2026.1,53.3,0.9,1.36,0.849,518.0,158.8,112.9,2014.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1826.9,58.6,12.9,1.26,0.911,463.3,159.5,113.6,2019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2152.4,45.3,91.1,1.51,0.95,515.5,161.3,127.0,2017.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2251.4,33.4,30.6,1.2,0.797,507.4,172.1,109.1,2004.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1814.4,54.2,89.5,1.11,0.846,491.8,158.8,123.1,2011.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2036.5,51.5,2.7,1.55,0.912,426.3,152.1,115.2,2005.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2000.2,46.5,94.6,1.61,0.98,390.7,159.3,114.0,2007.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2212.7,32.0,32.8,1.4,0.781,437.1,174.5,120.5,2012.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1893.6,35.5,90.2,1.53,0.925,422.7,145.5,114.6,2019.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1861.4,35.8,21.0,1.41,1.088,405.8,155.1,120.7,2000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2459.9,55.2,0.8,1.36,0.956,427.4,174.6,121.3,2000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1493.1,44.2,41.6,1.34,0.767,493.0,159.7,110.0,2021.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2014.7,57.9,86.5,1.45,0.754,418.2,151.3,121.9,2003.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2257.4,33.1,36.8,1.19,1.054,511.6,169.4,126.6,2001.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2555.3,45.9,9.3,1.59,0.88,370.1,169.0,122.6,2002.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1495.5,54.5,91.3,1.23,0.739,309.9,165.7,95.1,2021.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2738.7,35.1,90.3,1.33,0.782,543.2,151.8,127.6,2010.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2353.0,53.8,13.5,1.21,0.885,361.1,152.1,127.3,2011.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2008.7,59.5,10.8,1.49,0.712,414.9,175.3,123.3,2008.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1922.4,43.9,88.5,1.49,1.018,374.3,168.2,119.5,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1817.0,54.9,30.8,1.55,0.81,494.2,174.9,122.7,2022.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2006.0,37.1,93.4,1.7,0.929,540.6,155.3,125.6,2004.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2101.8,50.2,3.9,1.66,0.88,442.4,160.4,119.1,2017.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1652.5,38.5,85.2,1.31,0.912,402.0,144.7,109.9,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1649.9,38.3,87.6,1.45,0.922,390.1,166.6,107.1,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1984.0,42.7,31.6,1.5,0.796,496.4,157.2,113.7,2018.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1857.5,42.2,33.5,1.25,1.021,381.6,159.8,113.5,2009.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2492.0,48.9,33.5,1.62,0.953,401.6,162.3,120.4,2012.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1614.0,54.8,3.5,1.16,0.831,343.3,144.4,109.0,2002.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1859.7,47.4,36.5,1.48,1.008,438.0,146.9,123.2,2017.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1658.0,37.7,94.6,0.94,0.879,359.0,157.5,109.1,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2202.8,48.2,11.5,1.12,0.979,400.8,154.8,121.0,2016.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2164.8,54.8,11.2,1.43,0.843,453.9,163.5,106.8,2022.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1435.5,49.9,92.0,1.21,0.818,382.9,143.3,96.9,2020.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2133.9,56.9,94.8,1.37,0.895,498.3,170.2,112.6,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1953.4,44.3,27.9,1.07,1.021,501.5,169.5,123.9,2005.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1865.7,39.8,88.9,1.53,0.905,367.8,156.8,122.3,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2071.5,37.7,26.5,1.41,0.898,426.2,169.0,124.3,2024.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2760.2,37.3,24.0,1.64,0.784,399.1,185.8,124.3,2008.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1754.7,63.2,9.8,1.05,0.962,486.9,159.8,106.3,2006.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2478.7,49.1,26.8,1.28,0.994,409.5,177.1,111.3,2022.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2779.2,46.6,6.4,1.66,0.987,462.4,163.0,123.6,2019.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2026.1,52.7,93.7,1.1,0.895,470.1,172.7,112.1,2005.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2402.6,35.2,88.1,1.61,0.987,368.5,165.9,130.0,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2038.9,50.3,93.9,1.72,0.87,497.4,172.9,113.8,2002.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2399.2,48.1,33.0,1.23,0.756,442.5,162.9,116.4,2023.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1437.2,35.7,29.1,1.02,0.912,342.2,169.5,99.3,2009.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2344.4,49.5,85.8,1.66,1.051,430.7,155.6,111.7,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2393.0,31.6,38.6,1.64,1.063,369.2,168.1,114.4,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1400.9,32.9,39.2,1.38,0.877,421.4,145.5,107.0,2004.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1914.2,63.1,4.9,1.15,0.948,463.3,153.7,113.9,2006.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2675.5,42.8,24.5,1.13,0.975,522.7,186.3,113.3,2004.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2524.1,48.2,1.1,1.37,0.733,411.8,163.5,115.7,2022.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1801.3,34.7,21.6,1.7,0.913,511.0,163.9,112.8,2003.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1262.8,49.0,4.7,1.45,0.942,327.3,150.1,104.5,2012.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1841.1,56.5,7.9,1.54,1.029,514.7,179.7,120.6,2007.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2203.3,47.4,33.5,1.27,0.901,358.7,164.9,120.1,2021.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1953.1,54.0,8.5,1.58,0.918,341.7,161.7,117.0,2003.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2246.1,41.7,85.7,1.08,0.781,439.8,172.1,123.1,2012.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1413.8,46.5,30.3,1.07,0.852,457.9,141.8,97.5,2010.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2091.2,45.5,20.2,1.41,0.816,550.5,186.0,121.5,2008.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2161.7,45.5,44.5,1.46,0.989,492.9,173.7,126.1,2006.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2738.9,45.4,10.0,1.21,0.873,406.1,150.2,125.8,2021.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2396.9,46.2,90.0,1.14,0.941,406.4,173.5,112.6,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2204.9,45.7,1.8,1.48,0.926,531.3,159.7,113.8,2009.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1990.9,34.5,34.1,1.48,1.058,385.6,175.3,123.5,2010.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2052.8,57.2,7.7,1.13,0.979,460.1,168.7,129.3,2015.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2131.1,49.6,40.9,1.41,0.922,433.3,149.2,111.7,2019.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2203.3,39.5,91.1,1.45,0.87,509.9,184.7,127.3,2019.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1554.3,48.8,12.9,1.23,0.933,485.6,148.9,114.4,2002.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1906.4,41.4,91.9,1.26,1.0,517.1,165.9,127.7,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1551.7,39.5,29.1,1.04,0.774,445.5,155.2,112.5,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1945.8,45.7,2.1,1.17,0.753,474.9,174.0,114.8,2008.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1921.7,47.1,11.3,1.23,1.049,533.8,173.1,122.0,2023.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2583.2,47.9,14.8,1.6,0.991,367.9,152.7,119.0,2014.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2201.1,43.7,93.1,1.71,0.711,483.0,179.7,129.5,2013.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1558.2,36.6,22.3,1.33,0.891,342.3,149.2,105.8,2022.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2464.1,61.5,14.1,1.29,0.852,538.9,175.5,125.2,2015.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2095.5,32.2,33.2,1.4,0.765,349.9,177.4,118.3,2024.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1777.9,55.0,9.8,1.11,0.754,436.9,175.4,107.7,2020.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2303.3,49.6,92.9,1.53,0.987,371.2,159.6,128.4,2005.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2129.5,45.2,34.0,1.32,0.896,394.0,168.2,119.6,2010.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2348.3,38.0,45.0,1.24,0.961,491.4,175.7,122.9,2015.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2032.2,51.3,40.6,1.26,0.716,531.1,168.1,119.4,2023.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2172.7,45.4,2.7,1.49,0.829,382.5,164.5,111.6,2011.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1647.0,41.8,28.4,1.46,0.773,431.8,150.3,109.8,2012.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2368.5,39.4,20.7,1.48,0.921,353.2,178.7,121.2,2000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1559.9,45.6,26.6,0.99,0.784,490.8,156.9,96.8,2013.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1495.4,44.8,36.2,1.3,0.909,386.6,161.2,109.0,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2293.4,50.9,94.7,1.63,0.977,384.3,168.3,112.4,2023.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1647.2,65.0,6.8,0.94,0.74,344.3,166.4,109.4,2015.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2214.7,47.3,31.4,1.67,0.864,447.9,152.9,117.2,2022.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1542.1,30.2,25.5,1.03,0.922,442.2,143.1,98.1,2008.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1347.8,38.2,92.0,1.04,0.889,406.1,142.6,114.3,2015.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1380.8,55.1,93.1,1.38,0.769,364.7,146.8,111.4,2011.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2263.6,59.2,93.5,1.57,0.833,498.1,149.7,112.5,2006.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2328.8,56.2,12.5,1.53,0.945,398.7,160.3,112.1,2014.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2242.3,37.2,30.3,1.31,0.826,527.4,180.5,110.4,2011.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1484.7,34.6,21.8,1.32,0.931,482.0,161.5,111.4,2001.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2196.8,43.8,91.4,1.11,0.813,392.2,170.8,107.6,2015.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2266.7,34.9,22.8,1.28,1.041,476.4,171.9,129.4,2009.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2111.6,44.5,42.5,1.29,0.996,342.7,177.9,105.8,2018.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2044.8,42.5,94.4,1.32,1.091,478.8,152.6,126.8,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
